age,gender,ethnicity,prediction
57,Male,Black,1
36,Female,White,0
27,Male,Hispanic,0
50,Female,White,0
59,Male,Black,0
32,Female,Black,1
31,Female,White,1
40,Female,Hispanic,1
48,Female,Black,1
25,Male,Asian,1
49,Male,Black,0
34,Male,Hispanic,0
40,Male,Black,1
40,Male,White,1
32,Male,Black,0
53,Male,Black,0
52,Female,Hispanic,0
30,Female,White,0
40,Female,Hispanic,1
44,Female,Black,1
40,Male,Asian,0
31,Male,Black,1
38,Male,Hispanic,1
50,Female,Asian,0
50,Male,Hispanic,0
38,Female,Hispanic,1
31,Male,White,1
57,Male,Asian,0
50,Male,Black,1
44,Male,Hispanic,0
27,Female,Black,1
28,Female,White,0
50,Male,White,0
35,Female,Asian,1
26,Male,White,0
38,Male,White,1
54,Male,Black,1
36,Male,White,1
50,Female,White,1
57,Male,Hispanic,1
37,Male,White,1
38,Female,Hispanic,0
48,Male,White,0
58,Female,White,0
50,Male,Asian,1
45,Male,Asian,1
52,Male,Hispanic,0
26,Male,White,1
33,Male,Black,1
47,Male,Asian,0
39,Female,Black,0
37,Male,Asian,1
47,Female,Asian,0
41,Female,White,0
26,Male,Asian,0
44,Female,Black,0
44,Male,Asian,1
27,Female,Hispanic,1
36,Male,White,0
26,Female,White,0
38,Female,Hispanic,1
40,Male,Hispanic,0
43,Female,Hispanic,1
58,Male,Asian,1
30,Male,White,1
37,Male,Hispanic,1
46,Male,Asian,1
42,Male,Hispanic,0
36,Female,Black,0
54,Female,Black,0
31,Female,White,0
56,Male,Asian,0
43,Female,Black,0
30,Female,Black,0
44,Female,Asian,1
51,Female,Hispanic,1
31,Female,Asian,1
29,Male,Hispanic,0
35,Male,Black,1
39,Female,Black,1
27,Male,Black,0
29,Male,White,0
47,Female,White,1
33,Female,White,1
39,Male,Asian,1
27,Female,Black,1
53,Male,Black,1
30,Male,Asian,1
41,Female,White,1
50,Male,Asian,1
45,Male,White,1
32,Male,Black,1
45,Female,Hispanic,0
35,Female,White,1
32,Female,Black,0
48,Female,Black,1
59,Male,Hispanic,1
38,Female,Black,0
38,Female,Black,0
34,Female,White,1
