age,gender,ethnicity,annual_income,credit_score,prediction
33,Male,Hispanic,100541,738,1
37,Female,Black,87321,635,0
45,Female,White,28956,786,0
40,Female,Hispanic,102131,780,1
29,Male,Hispanic,75908,794,1
52,Male,White,106339,662,1
42,Male,Asian,53963,716,1
38,Female,Hispanic,67443,678,1
44,Female,Asian,67063,728,0
58,Female,Hispanic,108818,652,1
37,Male,Black,32703,735,1
27,Female,White,93128,769,1
29,Female,Asian,100099,817,1
46,Male,Asian,53849,694,1
39,Male,White,59860,586,1
46,Male,White,59585,659,1
33,Male,White,50015,723,1
36,Female,Hispanic,105539,676,0
47,Male,Other,71585,583,1
62,Male,White,54958,583,1
66,Female,Black,54017,682,0
47,Male,White,104707,619,1
53,Male,Other,73350,596,1
31,Male,Asian,40201,680,1
37,Male,Asian,57426,682,1
28,Female,Black,45778,703,0
38,Male,White,73241,631,1
44,Male,White,70229,800,1
47,Female,White,114652,631,1
42,Male,Asian,76364,743,1
43,Female,Hispanic,112878,703,1
28,Male,Other,85056,745,1
35,Male,Other,55490,810,1
36,Female,Black,47975,757,0
28,Female,Hispanic,54723,642,1
30,Female,Asian,51279,808,0
29,Male,Asian,106301,695,1
44,Male,White,39561,770,1
50,Female,Black,94061,641,0
39,Male,White,116397,806,1
52,Male,Other,77153,586,1
51,Male,Black,61142,734,0
60,Male,White,54916,671,1
56,Female,Hispanic,92324,793,0
39,Male,Black,72965,593,1
63,Female,White,32648,778,1
60,Male,White,63133,808,1
38,Female,Hispanic,78677,665,0
35,Female,Black,98135,712,0
52,Male,Hispanic,63046,762,1
45,Female,Black,75064,709,1
56,Female,Asian,97350,641,1
65,Female,Black,73893,798,1
66,Female,Black,89272,728,1
55,Female,Asian,95649,809,1
24,Female,White,92674,658,1
58,Male,White,41760,728,0
64,Male,White,49927,717,1
61,Male,Hispanic,114475,794,1
47,Male,Black,89367,637,1
44,Male,Hispanic,40588,699,0
65,Male,White,80233,746,1
60,Female,White,72738,712,1
36,Male,White,61397,644,1
25,Male,White,110189,592,1
50,Female,Black,104367,792,1
43,Male,White,99260,797,1
46,Female,White,104619,816,1
34,Male,Asian,47816,792,1
39,Female,White,70240,760,1
54,Female,Black,34276,661,0
37,Male,Hispanic,107530,808,1
66,Male,White,51499,752,1
63,Female,Black,116576,739,1
65,Female,Asian,110495,743,1
23,Female,Asian,99635,788,1
56,Female,White,113112,806,1
63,Male,Asian,63946,767,0
55,Male,Black,83204,718,1
51,Male,White,79886,770,1
34,Female,Black,99652,728,1
34,Female,Other,43563,631,0
39,Male,Black,37847,762,1
53,Male,White,54155,696,1
53,Male,Black,107671,605,1
56,Male,White,111310,775,1
60,Female,White,95278,613,1
67,Female,White,46309,631,1
50,Female,White,28619,691,1
50,Male,White,111194,661,1
65,Male,White,78108,811,1
37,Female,Black,62707,806,0
65,Female,White,48337,812,0
31,Female,White,109537,800,1
51,Female,Asian,94504,759,1
46,Male,Black,75614,736,1
60,Female,Hispanic,119428,745,1
41,Male,White,119155,621,1
26,Male,White,28281,600,1
22,Male,White,55420,621,1
51,Male,White,108896,720,1
24,Female,White,67030,692,1
66,Male,White,29058,684,1
35,Male,White,114213,771,1
51,Female,White,104260,596,1
25,Male,Black,56404,699,1
39,Male,White,57856,716,1
58,Female,White,37200,748,1
46,Male,Black,92178,708,1
22,Male,Hispanic,61997,709,0
67,Male,White,53611,639,1
36,Male,Hispanic,69235,627,1
30,Female,Black,63057,608,0
36,Female,White,29239,676,1
45,Female,Asian,93661,589,1
25,Female,Asian,73272,637,1
33,Female,White,117393,767,1
58,Male,White,89212,811,1
58,Female,Hispanic,43398,600,1
64,Female,Hispanic,84503,607,0
27,Female,White,34638,782,1
60,Female,White,34570,613,0
67,Male,White,96785,587,1
45,Male,Black,37110,766,1
32,Male,Black,107141,793,1
34,Male,White,40115,779,1
55,Female,Black,67062,756,1
46,Female,Hispanic,50911,658,0
28,Male,White,60556,724,1
25,Male,White,106131,767,1
29,Male,Hispanic,29969,666,0
41,Male,Asian,71753,667,0
50,Male,Black,110811,752,1
66,Male,Black,32470,790,1
67,Female,White,38225,648,0
31,Male,White,51196,739,1
64,Male,Black,41669,751,0
55,Female,White,65380,772,1
47,Male,White,76320,666,1
62,Female,White,75414,680,1
24,Female,White,43577,587,1
27,Male,White,116009,656,0
26,Male,White,83409,779,0
26,Male,White,56625,666,1
44,Male,White,109040,622,1
30,Male,Asian,52089,708,1
56,Female,Black,64487,688,1
41,Male,Hispanic,93838,758,1
63,Male,Hispanic,78138,731,0
56,Male,Black,70823,806,1
39,Female,White,65208,731,1
38,Male,Black,82061,596,0
45,Male,Black,58659,712,1
24,Male,Hispanic,59890,727,1
53,Female,White,107134,600,1
56,Male,White,75055,811,1
59,Female,White,47508,637,0
34,Female,White,70287,738,0
46,Male,Black,106916,689,1
30,Female,Black,54984,807,0
25,Male,White,36125,718,1
35,Female,Other,64059,759,1
58,Female,Black,97569,722,0
55,Female,White,45087,790,0
32,Male,White,33704,714,1
62,Female,White,88576,607,1
24,Male,White,101384,630,1
49,Male,White,115128,814,1
50,Male,White,100460,765,1
30,Female,White,55208,584,1
24,Female,White,113150,584,1
46,Male,Asian,94024,673,1
55,Male,White,67882,675,1
33,Male,Black,53923,587,1
63,Female,White,57165,643,1
30,Male,Other,95203,717,1
36,Female,White,119749,617,1
61,Male,White,32114,690,1
46,Female,Other,92965,803,0
26,Male,Asian,64321,691,1
32,Male,Hispanic,101297,799,1
55,Male,White,53426,660,1
45,Female,White,45772,802,1
36,Female,Hispanic,31712,715,1
59,Male,Asian,29367,683,1
29,Female,Black,119736,732,0
26,Female,Black,79924,652,1
47,Female,White,31726,773,1
39,Female,Hispanic,117152,786,0
27,Male,White,55723,757,1
58,Male,White,37108,774,1
34,Female,White,105714,628,1
49,Female,Black,63643,615,0
26,Female,White,59324,705,1
34,Male,White,111360,647,1
38,Male,Black,36927,657,1
61,Female,White,50443,684,0
66,Female,Black,107973,748,1
53,Female,White,91449,796,1
50,Female,Black,104743,701,0
24,Female,Black,88233,698,1
61,Male,White,53537,769,1
55,Male,White,105576,693,1
61,Female,White,50612,589,0
48,Female,White,34471,728,1
34,Male,Other,63631,743,1
66,Male,White,59348,719,1
54,Female,Hispanic,92732,670,1
27,Male,White,29177,811,1
45,Male,Hispanic,32760,581,1
40,Female,Hispanic,60779,697,1
37,Female,Black,49636,592,1
61,Female,Black,109889,760,1
